Selection and PL reported in the same study,Author(s) of Selection study,Publication year,Journal,volume.and.pp,Family,Species,Trait type,Trait name in study,N.Diff.linear.value,Diff.linear.value,N.Grad.linear,Grad.linear.value,Author(s) of pollen limitation study,Publication year,Journal,volume.and.pp,Best PL,Statistically significant PL
Yes,Totland,2001,Ecology,82:2233-2247,Ranunculaceae,Ranunculus acris,floral size,corolla diameter,78,0.11,78,0.15,Totland,2001,Ecology,82:2233-2247,0.304878049,yes
Yes,Totland,2001,Ecology,82:2233-2250,Ranunculaceae,Ranunculus acris,vegetative tissue area,number of stem leaves,78,0.52,78,0.19,Totland,2001,Ecology,82:2233-2250,0.304878049,yes
Yes,Totland,2001,Ecology,82:2233-2253,Ranunculaceae,Ranunculus acris,phenology,flowering date,110,-0.43,110,-0.15,Totland,2001,Ecology,82:2233-2253,0.147286822,yes
Yes,Totland,2001,Ecology,82:2233-2254,Ranunculaceae,Ranunculus acris,flower number,flower number,110,0.57,110,0.47,Totland,2001,Ecology,82:2233-2254,0.147286822,yes
Yes,Totland,2001,Ecology,82:2233-2256,Ranunculaceae,Ranunculus acris,floral size,corolla diameter,110,0.33,110,0.1,Totland,2001,Ecology,82:2233-2256,0.147286822,yes
Yes,Totland,2001,Ecology,82:2233-2259,Ranunculaceae,Ranunculus acris,vegetative tissue area,number of stem leaves,110,0.33,110,0.01,Totland,2001,Ecology,82:2233-2259,0.147286822,yes
Yes,Totland,2001,Ecology,82:2233-2262,Ranunculaceae,Ranunculus acris,phenology,flowering date,108,-0.17,108,-0.19,Totland,2001,Ecology,82:2233-2262,0.227272727,no
Yes,Totland,2001,Ecology,82:2233-2263,Ranunculaceae,Ranunculus acris,flower number,flower number,108,0.37,108,0.39,Totland,2001,Ecology,82:2233-2263,0.227272727,no
Yes,Totland,2001,Ecology,82:2233-2265,Ranunculaceae,Ranunculus acris,floral size,corolla diameter,108,0.16,108,0.19,Totland,2001,Ecology,82:2233-2265,0.227272727,no
Yes,Totland,2001,Ecology,82:2233-2268,Ranunculaceae,Ranunculus acris,vegetative tissue area,number of stem leaves,108,0.05,108,0.02,Totland,2001,Ecology,82:2233-2268,0.227272727,no
Yes,Totland,2001,Ecology,82:2233-2271,Ranunculaceae,Ranunculus acris,phenology,flowering date,110,-0.23,110,-0.27,Totland,2001,Ecology,82:2233-2271,-0.019607843,no
